x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
   18.500000,       0.000003,      -0.000874,      -0.027298,      -0.717037,      -2.590348,      -2.773681,      -2.783462,      -2.785248,      -2.786417,      -2.787478,      -2.788311,
   19.000000,       0.000003,      -0.000662,      -0.021038,      -0.553142,      -2.529849,      -2.771886,      -2.784179,      -2.786001,      -2.787084,      -2.788070,      -2.788794,
   19.500000,       0.000003,      -0.000511,      -0.016297,      -0.420872,      -2.450990,      -2.769148,      -2.784894,      -2.786767,      -2.787791,      -2.788660,      -2.789311,
   20.000000,       0.000003,      -0.000391,      -0.012678,      -0.317554,      -2.349857,      -2.765182,      -2.785526,      -2.787558,      -2.788467,      -2.789247,      -2.789858,
   20.500000,       0.000003,      -0.000301,      -0.009906,      -0.238684,      -2.222711,      -2.759666,      -2.786043,      -2.788302,      -2.789169,      -2.789890,      -2.790396,
   21.000000,       0.000003,      -0.000227,      -0.007777,      -0.179318,      -2.067089,      -2.752101,      -2.786388,      -2.789034,      -2.789837,      -2.790483,      -2.790924,
   21.500000,       0.000003,      -0.000172,      -0.006134,      -0.134979,      -1.883021,      -2.741816,      -2.786555,      -2.789686,      -2.790488,      -2.791059,      -2.791450,
   22.000000,       0.000003,      -0.000127,      -0.004855,      -0.101956,      -1.674192,      -2.727929,      -2.786559,      -2.790326,      -2.791123,      -2.791609,      -2.791956,
   22.500000,       0.000003,      -0.000094,      -0.003860,      -0.077339,      -1.448629,      -2.709285,      -2.786279,      -2.790933,      -2.791706,      -2.792164,      -2.792451,
   23.000000,       0.000003,      -0.000067,      -0.003074,      -0.058951,      -1.218127,      -2.684485,      -2.785694,      -2.791531,      -2.792319,      -2.792735,      -2.793006,
   23.500000,       0.000003,      -0.000048,      -0.002456,      -0.045163,      -0.995896,      -2.651572,      -2.784665,      -2.792012,      -2.792905,      -2.793304,      -2.793509,
   24.000000,       0.000003,      -0.000031,      -0.001971,      -0.034772,      -0.793653,      -2.608173,      -2.783167,      -2.792472,      -2.793417,      -2.793806,      -2.793977,
   24.500000,       0.000003,      -0.000021,      -0.001589,      -0.026907,      -0.619197,      -2.551382,      -2.780997,      -2.792833,      -2.793967,      -2.794295,      -2.794453,
   25.000000,       0.000003,      -0.000012,      -0.001279,      -0.020922,      -0.475451,      -2.477744,      -2.777936,      -2.793199,      -2.794456,      -2.794769,      -2.794950,
   25.500000,       0.000003,      -0.000006,      -0.001034,      -0.016336,      -0.361250,      -2.383461,      -2.773697,      -2.793385,      -2.794955,      -2.795256,      -2.795389,
   26.000000,       0.000003,       0.000000,      -0.000839,      -0.012814,      -0.272902,      -2.264808,      -2.768029,      -2.793535,      -2.795405,      -2.795741,      -2.795825,
   26.500000,       0.000003,       0.000002,      -0.000674,      -0.010101,      -0.205762,      -2.118926,      -2.760412,      -2.793552,      -2.795819,      -2.796188,      -2.796310,
   27.000000,       0.000003,       0.000004,      -0.000552,      -0.007990,      -0.155268,      -1.944897,      -2.750239,      -2.793424,      -2.796202,      -2.796595,      -2.796721,
   27.500000,       0.000003,       0.000006,      -0.000446,      -0.006345,      -0.117476,      -1.744990,      -2.736773,      -2.793122,      -2.796604,      -2.796993,      -2.797119,
